q_id,query_clean
87,нет про другой кэшбек
88,где посмотреть номер счёта карты
89,не вижу бик банка
90,по какому адресу банк работает физическими лицами меняют ли вас тенге на рубли
91,можно <anon num> сделать кэшбека этого на оплату картой не стикером
92,меня номер заблокирован
93,мне нужна история переводов <anon num> <anon num> год
94,можно ли получить код не пуш уведомлением сообщением на телефон
95,куда пропали кредитные карты почему не могу их найти
96,посмотрел историю операций поступлений нет
97,оформила <anon num> <anon num>
98,как мне заплатить за детский сад если банк не может найти реквизиты садика
99,для работы
100,можно сделать ещё одну дебетовую карту но привязать другой номер телефона
101,почему деньги не появляются на балансе
102,мои счета
103,на расчетный счёт пришла не вся сумма за вчерашний день
104,как привязать номер карте чтоб мне делали перевод по номеру телефону
105,до какого она действует
106,мне на счёт поступили детские пособия выплата материнского капитала где эти деньги почему их нет на счёте
107,мне пришло предложение максимально сумма <anon num> оформил на <anon num> тысяч отображается <anon num>
108,отделение митино время работы
109,поступления есть от меня
110,какие счета меня действующие
111,откуда пришли деньги
112,какой меня лимит по кредитной карте
113,кешбек
114,почему не вижу сколько денег на карте
115,не поступил на баланс
116,какой период пользовалась кредитной картой
117,то есть пользоваться можно после получения пластика
118,расчётный счёт
119,меня проблемы уведомлениями уведомление списаниях пополнениях банкомата зарплате приходят переводах нет чем это может быть связано
120,часы работы круглосуточно
121,как могу узнать свой расчетный счет или сделать это
122,за последние <anon num> месяца
123,не могу на экране найти кредитку лимитом <anon num>
124,бик нн банка
125,реквизиты проверены
126,что за пополнение мне пришло <anon num> от лояльности банка
127,случайно перевела деньги на кредитную карту на которой нет задолженности могу ли без комиссии перевести оттуда деньги
128,пишет что надо обновить номер телефона но он меня остался прежним
129,как узнать свой расчетный счет
130,что платежами сбп
131,onetotrip
132,после перевыпуска карты меняются ли реквизиты счета
133,мне уведомления не приходят как пополнениях
134,просьба отключить кредитную часть моей карты необходимо оставить только собственные средства
135,мой расчетный счет
136,работа
137,бик банка где посмотреть
138,мне же надо номер карты вписать не счета
139,сейчас внесла кредит как посмотреть что сумма внесена
140,прошла ли последняя операция на <anon num> рублей
141,как найти платеж сентября <anon num>
142,как отвязать карту если привязал ее другому телефону
143,когда меня открыта кредитная карта
144,не получается узнать срок действия
145,завтра по возможности подъеду отделение пушкино
146,операцию
147,оформлял крилитную карту на <anon num> <anon num> не на <anon num> <anon num>
148,проверить имеющиеся карты
149,как узнать бик
150,нужен скан реквизитов
151,на какой счет ушли <anon num> <anon num> задолженность по карте оплатить
152,тот кто получил деньги владелец телефона совершенно разные люди
153,почему на кредитной карте не отображается сумма лимита
154,по определённой операции
155,как получить временный пароль
156,картхолдер
157,мне нужен бик банка расчётный счет ни где нету могу найти
158,как привязать номер ребёнка детской карте
159,как установить пароль если приложение просит ввести текущий которого нет
160,куда вносить сумму долга
161,на детскую карту не приходят смс
162,можно уточнить какие меня карты
163,номер карты подорожник указана не верно
164,истории операций не отображается
165,оспаривание операций
166,адрес кызыл ул ленина <anon num>
167,маркетплейсы кэшбэк
168,оформил заём когда он придет
169,<anon num> мая банк работает имею виду завтра поедем оформлять авто кредит нам могут завтра на него ответ дать или нет
170,какого числа действует счёт
171,меня приходит зарплата на карту альфа уведомленийнет почему
172,номер карты меняется
173,как связаться управляющем отделения городе туапсе
174,получила карту спешке аэропорту сейчас понимаю что она мне не нужна
175,расскажите про карту альфа тревел она за границей действует для покупок переводов итд или выгода только приобретении туристических услуг
176,отделении подписывала бумаги но денег нет
177,не могу найти счет кредита
178,муж выпустил на меня карту но она не отображается кабинете
179,бонус сверху что даёт
180,не видно откуда пришли деньги
181,где найти бик банка
182,как узнать бик
183,почему денег нет на карте
184,посмотрите деньги пришли
185,пришлите реквизиты кредитной карты альфа бизнеса
186,как узнать какой карты расчётный счет
187,карта приложении появится только после того как ее заберу
188,почему не приходит уведомление кодом по смс
189,лл
190,почему не отображаются деньги на счету
191,обращение давал на отвязку чужого счета от моего номера привязали не тот
192,какой еще кредитный счет
193,откуда тогда он взял эту сумму она нигде не отображается
194,куда делись карты приложннии
195,не вижу этих денег на счетах
196,телефон на детской карте
197,мой расчётный счёт
198,куда перевела деньги
199,перенести визит банк
200,проверочнве смс не приходят
201,только что оформил кредитную карту
202,почему не вижу счет кредитной карты
203,по операциям
204,где посмотреть всё мои счета
205,почему не приходят уведомления смс переводе мне денежных средств
206,операции
207,только что пришло на телефон
208,смена пароля
209,вопрос по кешбку на моих картах
210,одобрили кредит где деньги
211,мне нужны уведомления на телефон не смс уведомление от банка
212,почему меня приложении не высвечивается карта ребенка
213,при попытке активации карты должен ввести код который должен прийти на мой номер телефона но он не приходит что мне делать
214,чтобы открыть вклад требуется смс код
215,не отображается карта
216,каждый раз мне приходится вводить номер карты номер телефона что происходит как это убрать
217,бик
218,когда закончится срок использования карты
219,переводы мне были сегодня
220,можете проверить не поступали ли мне переводы за сегодня или может они были отклонены
221,как посмотреть платеж
222,где ростове отделение банка находится для написания заявления вернуть деньги
223,оформлена кредитная карта на моё имя чужим человеком карты нет личном кабинете
224,номер карты
225,как снять остаток средств со счета закрыт счет альфа банке
226,как получаю
227,когда будет доступна кредитка приложении
228,при смене номера нет доступа приложению
229,как найти все или оплаты адрес ооо кладовкин
230,мне одобрили кредитную карту личном кабинете она не появилась
231,куда уходят пополнения
232,не отображается список карт
233,при входе приложение выходит обновить номер телефона нажимаю что меня тот же номер ошибка что делать
234,какие банкоматы работает сегодня город якутск
235,хочу погасить рассрочку на <anon num> не могу найти номер счёта
236,мне нужно обновить данные по номеру телефона
237,исчезла карта привязанная зарплатному счету
238,было ли пополнения рассрочки <anon num>
239,почему то не приходит смс на активацию электронной подписи альфа инвестициях
240,прошёл ли платёж
241,как узнать бик
242,когда была открыта кредитка
243,номер счета карты
244,сегодня получила карту альфа банк номер карты не совпадаем картой онлайн на карте другой приложении другой номер картв
245,не поступают уведомления пополнение карты
246,почему не показывает реквизиты
247,банк на каминтери
248,реквизиты можно мне атправит немагу найти
249,как телефонные номера поменять местами
250,кешаут
251,нужна ссылка для входа онлайн банк
252,хочу закрыть счёт на который брала деньги рассрочку сумму недостающую внесла но почему то не могу закрыть помогите закрыть рассрочку
253,мне не надо чтобы оно так отображалось
254,почему не стали приходить смс оповещения
255,последняя оплата инфо
256,как узнать лицевой счёт
257,по закрытому открытому счету нужна история операций за <anon num> год
258,мне на счет поступило <anon num> <anon num>
259,сейчас положила деньги на карту не могу найти их списание
260,операции произведенные более чем год назад
261,операции по картам
262,куда ушли пополнения на карту
263,ещё не получил кредитную карту как узнать лимит
264,реквизитах нет расчетного счета банка он мне нужен для возврата штрафа
265,не приходят уведомления списании средств
266,меня интересует дата когда заблокировала карты
267,перевод <anon num> тыс через сбп минут <anon num> назад почему не вижу перевод истории платежей
268,для оплаты не приходит смс уведомления включены как быть
269,узнать адрес оплаты картой
270,где он указывается
271,если дата платежа завтра по кредитным каникулам решение нужно принять сегодня или можно утра необходимо изучить информацию
272,эта выписка по оддному кредиту меня несколько кредитов по ним один договор
273,нет не понятно <anon num> числа было два поступление одно перевела себе накоплений сразу перевела другому человеку каких накоплениях деньги
274,где посмотреть номера договора на кредитную карту
275,пришлите выписку из банка содержащую наименование банка расчетный счет бик банка
276,такси за наш счет мае
277,мне нужен номер договора альфа страхования жизнь по погашенному кредиту
278,где могу это отслеживать
279,последний перевод
280,счёта
281,где посмотреть бик счёт карты
282,куда исчезла моя карта
283,как узнать бик банка
284,где могу найти счёт которому привязана моя карта
285,сегодня праздничный или выходной день
286,почему не вижу все поступления например зарплату
287,можно узнать где зачисление
288,мои кешбеки
289,могу узнать номера договоров страховки по тем кредитам которые закрыла досрочно
290,почему мне не приходят уведомления зачислениях таких как заработная плата пуш уведомления включены настройках
291,<anon num> апреля была операция по зачислению <anon num> руб откуда это куда были зачислены деньги
292,мне озон подарок отправил сотрудника альфа банка привезли как получить на карту <anon num> кеш бек
293,вопрос по начислению кэшбека
294,сумма поступления по дебетовой карты
295,история об оплате почему нет
296,брала деньги рассрочку на счету остались мои <anon num> руб как могу её получить
297,почему не отображается кредитная карта
298,что делать если не приходит код для активации карты
299,подключить кэшбек
300,запросить дебетового счета
301,проверить пополнение счета рассрочки
302,операции нет истории
303,куда ушло пополнение на <anon num> руб
304,меня подключены именно уведомления по смс профиле но они не приходят
305,бонус
306,адрес регистрации
307,пополнила баланс
308,интересует лимит по кредитной карте
309,как мне быть операция прошла или нет
310,бик код банка
311,когда меня был баланс
312,кэшбэк по операции
313,на мой счет поступила сумма <anon num> рублей от неизвестного отправителя
314,сегодня рабочий день или на бирже выходной
315,кредитный лимит
316,расчетный счёт
317,не могу ребенку подключить приложение не приходит смс на телефон что делать
318,почему не вижу карту онлайн банке на которой <anon num>
319,почему смс не получил
320,моя история по кредиту
321,почему приложении не отображался кредит <anon num> получил смс сейчас сразу оплатил
322,не могу просмотреть реквизиты
323,поступили денежные средства на кредит
324,перезвоните мне меня слетело приложение после смены телефона
325,последние пополнение
326,как посмотреть расчётный счёт
327,ребенка приложении не отображается его карта
328,сделал перевод между счетами не пойму сумма снялась куда перевелась
329,прошла оплата или нет <anon num>
330,меня сегодня было <anon num> перевода на сумму <anon num> <anon num> <anon num> <anon num> где чек на <anon num> <anon num> почему не высвечивается истории
331,пришло только уведомление
332,можно ли проверить действительно ли был осуществлен перевод другим пользователям на мой счет
333,где найти счет
334,где посмотреть мои счета
335,что меня подключен кредиту
336,бонусы
337,прошла ли оплата
338,оформил кредитную карту ей нельзя пользоваться ее не заберу офиса
339,где найти бик банка
340,на мой номер смс не приходить
341,не могу найти бик корсчет
342,почему не начислен кэшбек за оплату аптеке стикером
343,что моим номером не так
344,какой меня бик
345,где смотреть суммы зачислений по дивидендам купонам
346,зачислились деньги <anon num> числа не понимаю от кого они не вижу номер телефона отправителя где могу его узнать потому что деньги ни от кого не ждала
347,почему приходится каждый раз вводить логин пароль для входа код доступа сбивается
348,меня сегодня списали <anon num> счёт долга который оплатила другого банка два месяца назад
349,сама не могу потому что номер тот же но он его не подтверждает через код из смс
350,почему пропала операция из истории переводов
351,пуш уведомления были включены сейчас отключила попробую через смс
352,где узнать бик
353,вібрать кешбек
354,меня есть счёт кредитной карты
355,сегодня перевела <anon num> но не вижу на какой счет они пришли как узнать
356,не могу погасить задолжность из за заблокированых средств
357,не приходят уведомления смс что делать
358,последний на сумму <anon num>
359,почему не отображаются мои карты платежный стикер
360,почему кредитная карта не отображается приложении
361,не вижу баланса кредитной карте после оплаты платежа
362,почему не видна кредитная карта приложении
363,почему не вижу приложение свою старую карту
364,не появилась кредитная карта приложении
365,дебетовый счёт
366,бонус сверху
367,напишите почтовый адрес банка
368,срок годности кредитной карты
369,где <anon num> тысяча
370,истории расходные операции не отражаются
371,счет указан верно но денежные средства не отображаются
372,кэшбек
373,сколько мне одобряют
374,уменьшила лимит не приходит ни смс ни пуш уведомление на подтверждение
375,кэш бек
376,не отображается карта ребенка личном кабинете
377,почему нет этих денег на счету
378,уведомление временном пароле
379,заказала замену карты приложении она видна
380,где приложении кредитная карта
381,где можно узнать расчётный счет
382,почему не приходят уведомления поступлении средств на карту
383,мне нужен счет реквизиты без отчества
384,как посмотреть на сколько кредитная карта
385,что то истории операций не отображается
386,что мне пришло за перечисление
387,мне нужен номер счёта бик
388,как узнать каком магазине сделана покупка
389,если счет совершенно на другую сумму
390,не вижу куда перевелись деньги
391,как удалить уведомление переврде
392,могу получить карту санкт петербурге завтра вместо поселка сосново
393,деньги поступили
394,по каким операциям
395,номер карты
396,приложении история операций заканчивается на <anon num> году где найти сведения за <anon num> последних года
397,что делать если номер аннулирован нужно сменить его здесь
398,закинулись ли деньги на счет
399,мне одобрили кредитную карту ее не видно моих продуктах
400,справка реквизитах карты
401,цена за альфа стикер <anon num> указана за год или за каждый месяц течение года
402,смс не пришло
403,не приходит смс для подтверждения перевода
404,сумму
405,корреспондентский счет банка
406,как узнать номер счета которого списывается кредит
407,денег не вижу на счетах
408,почему не проходит оплата со стикера
409,мне нужна вся история платежей совершенные по qr коду
410,можно ли пользоваться кредитной до получения пластика
411,прошла ли последняя транзакция
412,хочу поменять номер для переводов по этому номеру поменять пароль для входа онлайн банк
413,не приходят деньги на счёт кредита
414,<anon num> это месяц
415,наименование банка
416,геннадий это все не помогает смс на закрытие за прочие операции приходят не приходит на активацию вчера вечером тоже самое было не могу активировать карту
417,лимит кредитной карты <anon num> перевод был сделан на счёт этой карты <anon num>
418,меня сейчас временные финансовые трудности попросить отсрочку ежемесячного платежа по кредиту на <anon num> <anon num> дней гарантирую оплату <anon num> мая возможен ли перенос даты платежа
419,нужен лицевой счёт для получения зп
420,вече оформить кредит на карту одобрили <anon num> тысяч рублей но текущий счёт не тот какой на карте
421,мне нужны номера договоров от какого они числа актуальные суммы задолженности по ним
422,поступлении на карту
423,за <anon num> мая
424,где найти расчётный счет
425,как мне найти свой расчетный счет
426,сколько приход за апрель
427,почему не могу войти личный кабинет
428,где можно узнать номер договора на страховку
429,че делать взял недавно кпзн банке сегодня позвони росреестра сказали оплатить какую то госпошлину сказали уточните своего менеджера если надо то какие реквизиты сумма где платить
430,подтвердить погашение долга по кредитке
431,оплаты по квитанциям март апрель
432,не приходят смс пуш для активации карты
433,куда делись <anon num> рублей не на одном счете не отображаются
434,как узнать дату когда мне выдали кредитную карту действующую
435,мне нужен номер счета бик
436,деньги поступили на кредитный счет или нет
437,расчетный счет карты
438,посмотрите данную сумму сняли карты
439,по операции за <anon num> мая
440,почему не отображается кредитная карта
441,не отобразился перевод истории
442,так точно проверил все операции по карте мои
443,реквизиты проверили
444,как узнать свой бик
445,нет истории платежей <anon num> года
446,не видно что поступили
447,доброго дня выполнил пополнение счета из другого банка деньги пришли но не понимаю на какой счет
448,почему не приходит пуш на подтверждение перевода из альфы другой банк
449,как мне записаться отделение банка чтобы получить детскую карту которая уже готова
450,когда заканчивается срок кредитной карты
451,как узнать расчетный счет
452,почему кредитная карта не появилась еще списке карт
453,почему не показывает последнюю оплату истории
454,не отображается кредитный лимит
455,номер договора действующего страхования по ипотеке
456,не вижу приложении карту свою
457,почему не могу закрыть счёт рассрочки не приходит смс
458,не могу ничего понять инвестициях не понять где посмотреть историю покупок выплат банком ежемесячной <anon num> рублей сколько раз получила эти выплаты
459,после закрытия куда перечислят деньги
460,перевела на счет кредитный деньги для списания <anon num> мая резерв по счету <anon num> <anon num> тыс на счету для списания теперь не хватает что это значит эти <anon num> <anon num> будут ли списаны за кредит
461,где находится
462,на какой счёт упали <anon num> рублей
463,не приходят смс при оплате картой онлайн
464,почему мне не приходят уведомления поступлении денег на счет
465,бик банка
466,если сейчас переведу деньги на альфа банк они также поступят непонятно куда или на карту
467,банк
468,совершила перевод не вижу его истории
469,где мне найти бик сч
470,ребёнка не получается войти лк
471,как включить функцию чтобы отчислялась на накопительный счёт какая то сумма
472,меня запись есть
473,можно отсрочить платеж по кредитной карте до пятницы
474,оплатил кап ремонт нигде нет истории платежа
475,куда ушло поступление на дебетовую карту <anon num>
476,перевод <anon num> мая не <anon num> мая
477,на свету нет этих денежных средств все еще
478,не вижу кредитную карту
479,почему не отображается карта альфаtravel приложении
480,как узнать свой расчётный счёт
481,сумма
482,вы можете мне сбп включить
483,где посмотреть расчетный счёт
484,почему не приходят смс кодом для оплат покупок
485,не вижу приложении детской карты ее на сына оформлял
486,где посмотреть всё мои счета
487,можете изменить номер телефона если меня еще настройках нету доверенности
488,до какого срока продлена дебетовая карта
489,как произошла покупка последняя
490,почему нет смс поступление денег или снятие
491,утро доброе уточнить вас на счёт кешбэк
492,нужны реквизиты бизнес счёта где их смотреть
493,почему не вижу пополнение от <anon num> апреля предыдущим операции на пополнение карты
494,приложение не показывает мне реквизиты
495,уточните какие операции осуществлялись по карте
496,обязательно ли приезжать офис банка
497,как узнать какой меня счет
498,одобрили кредитную карту есть возможность пользоваться деньгами до получения карты
499,не помню пароль что делать
500,куда перешли днеги
501,как удалить остальные профили которые привязаны этому номеру
502,меня альфа пей перестал показывать баланс
503,блокировка личного кабинета
504,меня не показывает баланс карты кредитной
505,что обозначает строка прочие расходы
506,операция сегодня какая была
507,как можно вывести деньги которые выше лимита
508,закрыть счет отвязка номера
509,не отображается кредитная карта
510,почему истории не показывает переводы сегодня
511,почему мне пришло уведомление что номер телефона будет сменен на каком основании не делала смену номер
512,как узнать номер счёта кредитных денег моего комбо счёта
513,сейчас оформляла кредит
514,можно ли заказать выписку реквизитов банковского счета
515,мне одобрили кредитную карту могу ей воспользоваться через мобильный банк
516,почему мне пришла смс на формокния кредита
517,как мне скинуть свой расчетный счёт
518,почему на карте кредитной нет средств
519,дом записать адрес
520,не приходят смс уведомлениях при покупках переводов тд
521,бик
522,прошел ли платеж на <anon num> тыс
523,другооооо банка списалась сумма <anon num> счет погашения долга по карте не вижу списания этой суммы
524,какого счета списывается кредит
525,почему меня на балансе только <anon num> переводили ранее еще не трогал скиньте историю за два года она не большая должна быть
526,не смогла оплатить стикером оплату другом банке стикер работе только на платежных системах альфа
527,когда переведёте деньги на кредитный счёт
528,как заказать справку реквизитов для работы
529,за весь период
530,как перевыпустить детский стикер
531,вчера были положены на счёт деньги куда они ушли
532,где могу посмотреть какие вклады были меня за год
533,мне надо узнать номер операции
534,баланс не совпадает
535,прошла ли последняя операция оплаты интернета по счету
536,кредитные счета
537,почему меня не приходят смс уведомления на сколько понимаю они включены тариф обслуживания
538,посмотрите теперь достаточно денег для списания
539,номер кредитного страхования
540,истории не могу найти платаж
