index,query_clean
379,а где в приложении кредитная карта
380,где можно узнать расчётный счет
381,почему не приходят уведомления о поступлении средств на карту
382,мне нужен счет реквизиты без отчества
383,как посмотреть на сколько кредитная карта
384,что то в истории операций не отображается
385,а что мне пришло за перечисление
386,мне нужен номер счёта и бик
387,как узнать в каком магазине сделана покупка
388,если счет совершенно на другую сумму
389,не вижу куда перевелись деньги
390,как удалить уведомление о переврде
391,могу я получить карту в санкт петербурге завтра вместо поселка сосново
392,деньги поступили
393,по каким операциям
394,номер карты
395,в приложении история операций заканчивается на <anon num> году где найти сведения за <anon num> последних года
396,что делать если номер аннулирован и нужно сменить его здесь
397,закинулись ли деньги на счет
398,мне одобрили кредитную карту ее не видно в моих продуктах
399,справка о реквизитах карты
400,цена за альфа стикер <anon num> р указана за год или за каждый месяц в течение года
401,смс не пришло
402,не приходит смс для подтверждения перевода
403,сумму
404,корреспондентский счет банка
405,как узнать номер счета с которого списывается кредит
406,денег не вижу на счетах
407,почему не проходит оплата со стикера
408,мне нужна вся история платежей совершенные по qr коду
409,можно ли пользоваться кредитной до получения пластика
410,прошла ли последняя транзакция
411,хочу поменять номер для переводов по этому номеру и поменять пароль для входа а онлайн банк
412,не приходят деньги на счёт кредита
413,<anon num> это в месяц
414,наименование банка
415,геннадий это все не помогает смс на закрытие и за прочие операции приходят не приходит на активацию вчера вечером тоже самое было не могу активировать карту
416,лимит кредитной карты <anon num> перевод был сделан на счёт этой карты <anon num>
417,у меня сейчас временные финансовые трудности и я попросить отсрочку ежемесячного платежа по кредиту на <anon num> <anon num> дней гарантирую оплату <anon num> мая возможен ли перенос даты платежа
418,нужен лицевой счёт для получения зп
419,вече оформить кредит на карту одобрили <anon num> тысяч рублей но текущий счёт не тот какой на карте
420,мне нужны номера договоров от какого они числа и актуальные суммы задолженности по ним
421,о поступлении на карту
422,за <anon num> мая
423,где найти расчётный счет
424,как мне найти свой расчетный счет
425,сколько приход за апрель
426,почему я не могу войти в личный кабинет
427,где можно узнать номер договора на страховку
428,че делать взял недавно кпзн в банке сегодня позвони с росреестра сказали оплатить какую то госпошлину сказали уточните у своего менеджера если надо то какие реквизиты сумма и где платить
429,подтвердить погашение долга по кредитке
430,оплаты по квитанциям март и апрель
431,не приходят смс и пуш для активации карты
432,куда делись <anon num> рублей не на одном счете не отображаются
433,как узнать дату когда мне выдали кредитную карту действующую
434,мне нужен номер счета и бик
435,деньги поступили на кредитный счет или нет
436,расчетный счет карты
437,посмотрите данную сумму сняли с карты
438,по операции за <anon num> мая
439,почему не отображается кредитная карта
440,не отобразился перевод в истории
441,так точно проверил все операции по карте мои
442,реквизиты проверили
443,как узнать свой бик
444,нет в истории платежей <anon num> года
445,не видно что поступили
446,доброго дня выполнил пополнение счета из другого банка деньги пришли но я не понимаю на какой счет
447,почему не приходит пуш на подтверждение перевода из альфы в другой банк
448,как мне записаться в отделение банка чтобы получить детскую карту которая уже готова
449,когда заканчивается срок кредитной карты
450,как узнать расчетный счет
451,почему кредитная карта не появилась еще в списке карт
452,почему не показывает последнюю оплату в истории
453,не отображается кредитный лимит
454,номер договора действующего страхования по ипотеке
455,не вижу в приложении карту свою
456,почему я не могу закрыть счёт рассрочки не приходит смс
457,не могу ничего понять в инвестициях не понять где посмотреть историю покупок и выплат банком ежемесячной <anon num> рублей сколько раз я получила эти выплаты
458,после закрытия куда перечислят деньги
459,перевела на счет кредитный деньги для списания <anon num> мая резерв по счету <anon num> <anon num> тыс на счету для списания теперь не хватает что это значит и эти <anon num> <anon num> будут ли списаны за кредит
460,где находится
461,на какой счёт упали <anon num> рублей
462,не приходят смс при оплате картой онлайн
463,почему мне не приходят уведомления о поступлении денег на счет
464,бик банка
465,если я сейчас переведу деньги на альфа банк они также поступят непонятно куда или на карту
466,банк
467,совершила перевод не вижу его в истории
468,где мне найти бик и к сч
469,у ребёнка не получается войти в лк
470,а как включить функцию чтобы отчислялась на накопительный счёт какая то сумма
471,у меня запись есть
472,можно отсрочить платеж по кредитной карте до пятницы
473,оплатил кап ремонт и нигде нет истории платежа
474,куда ушло поступление на дебетовую карту <anon num> р
475,перевод <anon num> мая а не <anon num> мая
476,на свету нет этих денежных средств все еще
477,не вижу кредитную карту
478,почему не отображается карта альфаtravel в приложении
479,как узнать свой расчётный счёт
480,сумма
481,вы можете мне сбп включить
482,где посмотреть расчетный счёт
483,почему не приходят смс с кодом для оплат покупок
484,не вижу в приложении детской карты я ее на сына оформлял
485,где посмотреть всё мои счета
486,можете изменить номер телефона если у меня еще в настройках нету доверенности
487,до какого срока продлена дебетовая карта
488,как произошла покупка последняя
489,почему нет смс о поступление денег или снятие
490,утро доброе уточнить у вас на счёт кешбэк
491,нужны реквизиты бизнес счёта где их смотреть
492,почему не вижу пополнение от <anon num> апреля и предыдущим операции на пополнение карты
493,приложение не показывает мне реквизиты
494,уточните какие операции осуществлялись по карте
495,обязательно ли приезжать в офис банка
496,как узнать какой у меня счет
497,одобрили кредитную карту есть возможность пользоваться деньгами до получения карты
498,я не помню пароль что делать
499,куда перешли днеги
500,как удалить остальные профили которые привязаны к этому номеру
501,у меня в альфа пей перестал показывать баланс
502,блокировка личного кабинета
503,у меня не показывает баланс карты кредитной
504,что обозначает строка прочие расходы
505,операция сегодня какая была
506,а как можно вывести деньги которые выше лимита
507,закрыть счет и отвязка номера
508,не отображается кредитная карта
509,почему в истории не показывает переводы сегодня
510,почему мне пришло уведомление что номер телефона будет сменен на каком основании я не делала смену номер
511,как узнать номер счёта кредитных денег моего комбо счёта
512,сейчас я оформляла кредит
513,можно ли заказать выписку реквизитов банковского счета
514,мне одобрили кредитную карту могу ей воспользоваться через мобильный банк
515,почему мне пришла смс на формокния кредита
516,как мне скинуть свой расчетный счёт
517,почему на карте кредитной нет средств
518,дом записать адрес
519,не приходят смс о уведомлениях при покупках переводов и тд
520,бик
521,прошел ли платеж на <anon num> тыс
522,с другооооо банка списалась сумма <anon num> в счет погашения долга по карте я не вижу списания этой суммы
523,с какого счета списывается кредит
524,почему у меня на балансе только <anon num> переводили ранее еще и не трогал скиньте историю за два года она не большая должна быть
525,не смогла оплатить стикером оплату в другом банке стикер работе только на платежных системах альфа
526,когда переведёте деньги на кредитный счёт
